Athlete	CountryName	CountryCode	Gender	Sport	Medals	Appearances
june croft, ann osgerby, margaret kelly, helen jameson	Great Britain	GBR	Female	Swimming	1	1
june foulds-paul, jean desforges, sylvia cheeseman, heather armitage	Great Britain	GBR	Female	Athletics	1	1
june maston, betty mckinnon, joyce king, shirley strickland	Australia	AUS	Female	Athletics	1	1
junxia wang	China	CHN	Female	Athletics	2	1
juraj tarr, michal riszdorfer, richard riszdorfer, erik vlcek	Slovenia	SLO	Male	Canoeing	1	1
juris silovs, aleksandr kornelyuk, vladimir lovetsky, valery borzov	Soviet Union	URS	Male	Athletics	1	1
justin gatlin	United States of America	USA	Male	Athletics	3	2
justin lemberg	Australia	AUS	Male	Swimming	1	1
justin norris	Australia	AUS	Male	Swimming	1	1
justus smith, john stack, ralph purchase, david turner, ian turner, james hardy, george ahlgren, david brown, lloyd butler	United States of America	USA	Male	Rowing	1	1
jutta behrendt	German Democratic Republic	GDR	Female	Rowing	1	1
jutta heine	Germany	GER	Female	Athletics	1	1
j?zsef deme, j?nos r?tkai	Hungary	HUN	Male	Canoeing	1	1
j?zsef kov?cs	Hungary	HUN	Male	Athletics	1	1
j?zsef szab?	Hungary	HUN	Male	Swimming	1	1
kaarlo maaninka	Finland	FIN	Male	Athletics	2	1
kaitlin sandeno	United States of America	USA	Female	Swimming	3	2
kajetan broniewski	Poland	POL	Male	Rowing	1	1
kalle tuominen	Finland	FIN	Male	Athletics	1	1
karel lismont	Belgium	BEL	Male	Athletics	2	2
karen harup	Denmark	DEN	Female	Swimming	2	1
karen hoff	Denmark	DEN	Female	Canoeing	1	1
karen moe	United States of America	USA	Female	Swimming	1	1
karen moras	Australia	AUS	Female	Swimming	1	1
karen phillips	Australia	AUS	Female	Swimming	1	1
karin balzer	German Democratic Republic	GDR	Female	Athletics	1	1
karin nilsson, emy machnow, jane gylling, aina berg	Sweden	SWE	Female	Swimming	1	1
karin seick	West Germany	FRG	Female	Swimming	1	1
karl-friedrich haas	Germany	GER	Male	Athletics	1	1
karl-heinrich von groddeck, hans-j?rgen wallbrecht, klaus aeffke, thomas ahrens, klaus behrens, klaus bittner, j?rgen schroeder, j?rgen plagemann, horst meyer	Germany	GER	Male	Rowing	1	1
karl-heinrich von groddeck, klaus bittner, karl-heinz hopp, hans lenk, willi padge, frank schepke, kraft schepke, manfred rulffs, walter schr?der	Germany	GER	Male	Rowing	1	1
karl ruberl	Austria	AUT	Male	Swimming	2	1
karl warner, bill carr, edgar ablowich, ivan fuqua	United States of America	USA	Male	Athletics	1	1
karsten forsterling, james mcrae, daniel noonan, christopher morgan	Australia	AUS	Male	Rowing	1	1
katalin kovacs, danuta kozak, gabriella timea szabo, krisztina fazekas	Hungary	HUN	Female	Canoeing	1	1
katalin kovacs, natasa janic	Hungary	HUN	Female	Canoeing	1	1
katalin sz?ke	Hungary	HUN	Female	Swimming	1	1
katharine merry	Great Britain	GBR	Female	Athletics	1	1
katherine copeland, sophie hosking	Great Britain	GBR	Female	Rowing	1	1
katherine grainger, anna watkins	Great Britain	GBR	Female	Rowing	1	1
katherine grainger, guin batten, miriam batten, gillian lindsay	Great Britain	GBR	Female	Rowing	1	1
kathleen ellis	United States of America	USA	Female	Swimming	2	1
kathleen heddle, marnie mcbean	Canada	CAN	Female	Rowing	1	1
kathleen nord	German Democratic Republic	GDR	Female	Swimming	1	1
kathrin boron, manuela lutze, britta oppelt, stephanie schiller	Germany	GER	Female	Rowing	1	1
kathrin d?rre	German Democratic Republic	GDR	Female	Athletics	1	1
kathrin mei?ner	German Democratic Republic	GDR	Female	Swimming	1	1
kathrin zimmermann	German Democratic Republic	GDR	Female	Swimming	1	1
kathryn smallwood-cook	Great Britain	GBR	Female	Athletics	1	1
kathryn smallwood-cook, simmone jacobs, beverley goddard-callender, heather hunte	Great Britain	GBR	Female	Athletics	1	1
kathy hammond	United States of America	USA	Female	Athletics	1	1
katie hoff	United States of America	USA	Female	Swimming	2	1
katie ledecky	United States of America	USA	Female	Swimming	1	1
katrin borchert	Australia	AUS	Female	Canoeing	1	1
katrin borchert, anna wood	Australia	AUS	Female	Canoeing	1	1
katrin borchert, birgit fischer, anke nothnagel-von seck, ramona portwich	Germany	GER	Female	Canoeing	1	1
katrin rutschow-stomporowski	Germany	GER	Female	Rowing	2	2
katrin wagner	Germany	GER	Female	Canoeing	1	1
katsuo takaishi	Japan	JPN	Male	Swimming	1	1
kay bluhm, torsten gutsche	Germany	GER	Male	Canoeing	3	2
kaye hall	United States of America	USA	Female	Swimming	2	1
kazimierz zimny	Poland	POL	Male	Athletics	1	1
kazuo tomita, keigo shimizu, yoshihiko osaki, koichi hirakida	Japan	JPN	Male	Swimming	1	1
kee-chung sohn	Japan	JPN	Male	Athletics	1	1
keena rothhammer	United States of America	USA	Female	Swimming	2	1
keith carter	United States of America	USA	Male	Swimming	1	1
kellie wells	United States of America	USA	Female	Athletics	1	1
kelly holmes	Great Britain	GBR	Female	Athletics	3	2
kelvin graham, peter foster	Australia	AUS	Male	Canoeing	1	1
kelvin graham, ramon andersson, ian rowling, steven wood	Australia	AUS	Male	Canoeing	1	1
kenenisa bekele	Ethiopia	ETH	Male	Athletics	4	2
ken huszagh	United States of America	USA	Male	Swimming	1	1
kenji kimihara	Japan	JPN	Male	Athletics	1	1
ken matthews	Great Britain	GBR	Male	Athletics	1	1
kennedy mcarthur	South Africa	SAF	Male	Athletics	1	1
kenneth myers	United States of America	USA	Male	Rowing	1	1
kenneth walsh	United States of America	USA	Male	Swimming	1	1
kentaro kawatsu	Japan	JPN	Male	Swimming	1	1
ken wallace	Australia	AUS	Male	Canoeing	2	1
kerron clement	United States of America	USA	Male	Athletics	1	1
kerron stewart	Jamaica	JAM	Female	Athletics	2	1
kerstin behrendt, marlies g?hr-oelsner, ingrid lange-auerswald, silke m?ller-gladisch	German Democratic Republic	GDR	Female	Athletics	1	1
kerstin kielga?	Germany	GER	Female	Swimming	1	1
kerstin k?ppen, kathrin boron	Germany	GER	Female	Rowing	1	1
kerstin m?ller, kristina mundt, birgit peter, sybille schmidt	Germany	GER	Female	Rowing	1	1
kevan gosper, leon gregory, david lean, graham gipson	Australia	AUS	Male	Athletics	1	1
kevin berry	Australia	AUS	Male	Swimming	1	1
kevin young	United States of America	USA	Male	Athletics	1	1
khalid boulami	Morocco	MAR	Male	Athletics	1	1
khalid skah	Morocco	MAR	Male	Athletics	1	1
kharis yunichev	Soviet Union	URS	Male	Swimming	1	1
kieren perkins	Australia	AUS	Male	Swimming	4	3
kiki caron	France	FRA	Female	Swimming	1	1
kim batten	United States of America	USA	Female	Athletics	1	1
kim crow	Australia	AUS	Female	Rowing	1	1
kim crow, brooke pratley	Australia	AUS	Female	Rowing	1	1
kim gallagher	United States of America	USA	Female	Athletics	2	2
kim knudsen, rene poulsen	Denmark	DEN	Male	Canoeing	1	1
kim turner	United States of America	USA	Female	Athletics	1	1
kim vandenberg, julia smit, allison schmitt, christine marshall, katie hoff, caroline burckle, natalie coughlin	United States of America	USA	Female	Swimming	1	1
kinue hitomi	Japan	JPN	Female	Athletics	1	1
kipchoge keino	Kenya	KEN	Male	Athletics	4	2
kipkemboi kimeli	Kenya	KEN	Male	Athletics	1	1
kirani james	Grenada	GRN	Male	Athletics	1	1
kirk baptiste	United States of America	USA	Male	Athletics	1	1
kirsten emmelmann, sabine busch, petra m?ller, dagmar neubauer-r?bsam	German Democratic Republic	GDR	Female	Athletics	1	1
kirsten thomson, jacinta van lint, elka graham, petria thomas, susan o'neill, giaan rooney	Australia	AUS	Female	Swimming	1	1
kirsten van der kolk, marit van eupen	Netherlands	NED	Female	Rowing	2	2
kirsten vlieghuis	Netherlands	NED	Female	Swimming	2	1
kirsty conventry	Zimbabwe	ZIM	Female	Swimming	3	1
kirsty coventry	Zimbabwe	ZIM	Female	Swimming	4	2
kjersti plaetzer	Norway	NOR	Female	Athletics	1	1
kjersti platzer	Norway	NOR	Female	Athletics	1	1
kjetil undset, steffen st?rseth	Norway	NOR	Male	Rowing	1	1
klaus ehl, jobst hirscht, karlheinz klotz, gerhard wucherer	West Germany	FRG	Male	Athletics	1	1
klaus kr?ppelien, joachim dreifke	German Democratic Republic	GDR	Male	Rowing	1	1
klaus-peter hildenbrand	West Germany	FRG	Male	Athletics	1	1
klaus richtzenhain	Germany	GER	Male	Athletics	1	1
klaus thiele, frank schaffer, volker beck, andreas knebel	German Democratic Republic	GDR	Male	Athletics	1	1
klemie bimolt, ada kok, erica terpstra, korrie winkel	Netherlands	NED	Female	Swimming	1	1
klete keller	United States of America	USA	Male	Swimming	2	2
kl?ra rajnai	Hungary	HUN	Female	Canoeing	1	1
kl?ra rajnai, anna pfeffer	Hungary	HUN	Female	Canoeing	1	1
knut holmann	Norway	NOR	Male	Canoeing	6	3
knut lindberg, charles luther, ivan m?ller, ture persson	Sweden	SWE	Male	Athletics	1	1
koichi morishita	Japan	JPN	Male	Athletics	1	1
kokichi tsuburaya	Japan	JPN	Male	Athletics	1	1
konrad wasielewski, michal jelinski, marek kolbowicz, adam korol	Poland	POL	Male	Rowing	1	1
konstantinos kenteris	Greece	GRE	Male	Athletics	1	1
kornelia ender	German Democratic Republic	GDR	Female	Swimming	4	2
kosuke hagino	Japan	JPN	Male	Swimming	1	1
kosuke kitajima	Japan	JPN	Male	Swimming	4	2
kosuke kitajima, takeshi matsuda, takuro fujii, ryosuke irie	Japan	JPN	Male	Swimming	1	1
kriss akabusi	Great Britain	GBR	Male	Athletics	1	1
kriss akabusi, todd bennett, phil brown, garry cook	Great Britain	GBR	Male	Athletics	1	1
kristian hellstr?m	Sweden	SWE	Male	Athletics	1	1
kristina mundt, beate schramm, jana sorgers, kerstin f?rster	German Democratic Republic	GDR	Female	Rowing	1	1
kristin otto	German Democratic Republic	GDR	Female	Swimming	4	1
kristoffer leps?, thor pedersen, leif n?ss, carl henrik monssen, sigurd monssen, harald kr?kenes, thorstein kr?kenes, hans eigil hansen, halfdan gran olsen	Norway	NOR	Male	Rowing	1	1
kristy kowal	United States of America	USA	Female	Swimming	1	1
krisztian bartfai, krisztian vereb	Hungary	HUN	Male	Canoeing	1	1
krisztina egerszegi	Hungary	HUN	Female	Swimming	7	3
k?roly bartha	Hungary	HUN	Male	Swimming	1	1
k?roly g?ttler	Hungary	HUN	Male	Swimming	2	2
k?roly levitzky	Hungary	HUN	Male	Rowing	1	1
kruska larsen	Norway	NOR	Male	Athletics	1	1
k?the krau?	Germany	GER	Female	Athletics	1	1
kurt grote, josh davis, mark henderson, gary hall jr., john hargis, jeremy linn, jeff rouse, tripp schwenk	United States of America	USA	Male	Swimming	1	1
kurt malisch	Germany	DEU	Male	Swimming	1	1
kurt moeschter, bruno m?ller	Germany	GER	Male	Rowing	1	1
kusuo kitamura	Japan	JPN	Male	Swimming	1	1
kyoko iwasaki	Japan	JPN	Female	Swimming	1	1
lacey hearn	United States of America	USA	Male	Athletics	1	1
laimute baikauskaite	Soviet Union	URS	Female	Athletics	1	1
lajos kiss	Hungary	HUN	Male	Canoeing	1	1
lalka berberova, radka stoyanova	Bulgaria	BUL	Female	Rowing	1	1
lalonde gordon	Trinidad and Tobago	TTO	Male	Athletics	1	1
lalonde gordon, deon lendore, jarrin solomon, ade alleyne-forte	Trinidad and Tobago	TTO	Male	Athletics	1	1
lance larson	United States of America	USA	Male	Swimming	1	1
larion serghei, policarp malihin	Romania	ROM	Male	Canoeing	1	1
larisa kruglova, irina khabarova, olga fyodorova, yuliya tabakova	Russia	RUS	Female	Athletics	1	1
larisa merk, oxana dorodnova, irina fedotova, ioulia levina	Russia	RUS	Female	Rowing	1	1
larry black	United States of America	USA	Male	Athletics	1	1
larry cain	Canada	CAN	Male	Canoeing	2	1
larry james	United States of America	USA	Male	Athletics	1	1
larry young	United States of America	USA	Male	Athletics	2	2
lars bj?nness, rolf thorsen, kjetil undset, per s?tersdal	Norway	NOR	Male	Rowing	1	1
larsen jensen	United States of America	USA	Male	Swimming	2	2
lars-erik moberg	Sweden	SWE	Male	Canoeing	1	1
lars-erik moberg, per-inge bengtsson	Sweden	SWE	Male	Canoeing	1	1
lars fr?lander	Sweden	SWE	Male	Swimming	1	1
lars fr?lander, anders holmertz, anders lyrbring, christer wallin	Sweden	SWE	Male	Swimming	1	1
lars kober, stefan utess	Germany	GER	Male	Canoeing	1	1
lars wolfbrandt, kurt lundqvist, rune larsson, folke alnevik	Sweden	SWE	Male	Athletics	1	1
lashawn merritt	United States of America	USA	Male	Athletics	1	1
lashinda demus	United States of America	USA	Female	Athletics	1	1
lasse vir?n	Finland	FIN	Male	Athletics	4	2
laszlo cseh	Hungary	HUN	Male	Swimming	5	3
laurel korholz, samantha magee, anna mickelson, lianne nelson, mary whipple, megan dirkmaat, kate johnson, caryn davies, alison cox	United States of America	USA	Female	Rowing	1	1
laure manaudou	France	FRA	Female	Swimming	3	1
lauri lehtinen	Finland	FIN	Male	Athletics	2	2
lauri nevalainen, oiva lommi, veikko lommi, kauko wahlsten	Finland	FIN	Male	Rowing	1	1
lauri siering, camille wright, shirley babashoff, linda jezek	United States of America	USA	Female	Swimming	1	1
lauri virtanen	Finland	FIN	Male	Athletics	2	1
lauryn williams	United States of America	USA	Female	Athletics	1	1
lavonna martin	United States of America	USA	Female	Athletics	1	1
lea loveless	United States of America	USA	Female	Swimming	1	1
leamon king, thane baker, bobby morrow, ira murchison	United States of America	USA	Male	Athletics	1	1
ledys frank balceiro	Cuba	CUB	Male	Canoeing	1	1
lee calhoun	United States of America	USA	Male	Athletics	2	2
lee evans	United States of America	USA	Male	Athletics	1	1
lee evans, ron freeman, larry james, vincent matthews	United States of America	USA	Male	Athletics	1	1
leendert van dis, henricus droog	Netherlands	NED	Male	Rowing	1	1
leisel jones	Australia	AUS	Female	Swimming	5	3
leisel jones, alicia coutts, melanie schlanger, emily seebohm	Australia	AUS	Female	Swimming	1	1
leni lohmar, gisela arendt, ruth halbsguth, inge schmitz	Germany	GER	Female	Swimming	1	1
lennart strand	Sweden	SWE	Male	Athletics	1	1
lennox miller	Jamaica	JAM	Male	Athletics	2	2
lenny krayzelburg	United States of America	USA	Male	Swimming	2	1
lenore kight-wingard	United States of America	USA	Female	Swimming	2	2
leobaldo pereira, ibrahim rojas	Cuba	CUB	Male	Canoeing	1	1
leonel manzano	United States of America	USA	Male	Athletics	1	1
leonid bartenev, yuri konovalov, gusman kosanov, edvins ozolins	Soviet Union	URS	Male	Athletics	1	1
leonid geyshtor, sergey makarenko	Soviet Union	URS	Male	Canoeing	1	1
leonid ilyichov, vladimir kosinsky, vladimir nemshilov	Soviet Union	URS	Male	Swimming	1	1
leonid spirin	Soviet Union	URS	Male	Athletics	1	1
leon rotman	Romania	ROM	Male	Canoeing	2	2
les carney	United States of America	USA	Male	Athletics	1	1
lesley ashburner	United States of America	USA	Male	Athletics	1	1
leslie cliff	Canada	CAN	Female	Swimming	1	1
leslie rich, harry hebner, leo goodwin, charles daniels	United States of America	USA	Male	Swimming	1	1
leszek dunecki, zenon licznerski, marian woronin, krzysztof zwoliwski	Poland	POL	Male	Athletics	1	1
lewis clive, hugh edwards	Great Britain	GBR	Male	Rowing	1	1
lewis tewanima	United States of America	USA	Male	Athletics	1	1
liam heath, jon schofield	Great Britain	GBR	Male	Canoeing	1	1
libby trickett	Australia	AUS	Female	Swimming	2	1
lida van der anker-doedens	Netherlands	NED	Female	Canoeing	1	1
lidia simon	Romania	ROM	Female	Athletics	1	1
liliana gafencu, elena georgescu, vera cochelea, doina ignat, elisabeta lipa, anca tanase, doina spircu, marioara popescu, ioana olteanu	Romania	ROM	Female	Rowing	1	1
li lin	China	CHN	Female	Swimming	4	2
liliya nurutdinova	Soviet Union	URS	Female	Athletics	1	1
lillian board	Great Britain	GBR	Female	Athletics	1	1
limin liu	China	CHN	Female	Swimming	1	1
lina kaciusyte	Soviet Union	URS	Female	Swimming	1	1
lina radke	Germany	GER	Female	Athletics	1	1
linda gustavson	United States of America	USA	Female	Swimming	2	1
linda mackenzie, melanie schlanger, stephanie rice, kylie palmer, lara davenport, angie bainbridge, bronte barratt, felicity galvez	Australia	AUS	Female	Swimming	1	1
lindsay burns, teresa bell	United States of America	USA	Female	Rowing	1	1
lindsay wilson, ivan sutherland, dave rodger, alex mclean, trevor coker, simon dickie, peter dignan, athol earl, tony hurt	New Zealand	NZL	Male	Rowing	1	1
lindy remigino	United States of America	USA	Male	Athletics	1	1
linford christie	Great Britain	GBR	Male	Athletics	2	2
linsey macdonald, michelle probert, joslyn hoyte-smith, donna-marie hartley	Great Britain	GBR	Female	Athletics	1	1
liping wang	China	CHN	Female	Athletics	1	1
lisa carrington	New Zealand	NZL	Female	Canoeing	1	1
lisa jacob, trina jackson, sheila taormina, cristina teuscher, annette salmeen, ashley whitney, jenny thompson	United States of America	USA	Female	Swimming	1	1
lisa martin	Australia	AUS	Female	Athletics	1	1
lisbeth lenton	Australia	AUS	Female	Swimming	1	1
liuyang jiao	China	CHN	Female	Swimming	1	1
liu zige	China	CHN	Female	Swimming	1	1
livio berruti	Italy	ITA	Male	Athletics	1	1
llewellyn herbert	South Africa	RSA	Male	Athletics	1	1
lloyd labeach	Panama	PAN	Male	Athletics	2	1
lord david burghley	Great Britain	GBR	Male	Athletics	1	1
lord david burghley, thomas hampson, godfrey rampling, crew stoneley	Great Britain	GBR	Male	Athletics	1	1
lorenzo carboncini, riccardo deirossi, valter molea, carlo mornati	Italy	ITA	Male	Rowing	1	1
lori melien, andrea nugent, jane kerr, allison higson	Canada	CAN	Female	Swimming	1	1
lorraine crapp	Australia	AUS	Female	Swimming	2	1
lorraine graham	Jamaica	JAM	Female	Athletics	1	1
lorraine moller	New Zealand	NZL	Female	Athletics	1	1
lothar kn?rzer, heinz f?tterer, manfred germar, leo pohl	Germany	GER	Male	Athletics	1	1
lotte friis	Denmark	DEN	Female	Swimming	1	1
lotte m?he	Germany	GER	Female	Swimming	1	1
louis clarke, frank hussey, alfred leconey, loren murchison	United States of America	USA	Male	Athletics	1	1
louise j?hncke, anna-karin kammerling, josefin lillhage, therese alshammar, malin svahnstrom, johanna sj?berg	Sweden	SWE	Female	Swimming	1	1
louis gantois	France	FRA	Male	Canoeing	1	1
l?szl? folt?n, istv?n vaskuti	Hungary	HUN	Male	Canoeing	1	1
luca sacchi	Italy	ITA	Male	Swimming	1	1
lucy morton	Great Britain	GBR	Female	Swimming	1	1
lucyna langer	Poland	POL	Female	Athletics	1	1
ludmila engquist	Sweden	SWE	Female	Athletics	1	1
ludy langer	United States of America	USA	Male	Swimming	1	1
luguelin santos	Dominican Republic	DOM	Male	Athletics	1	1
luigi beccali	Italy	KIT	Male	Athletics	2	2
luis las?rtegui, fernando climent	Spain	ESP	Male	Rowing	1	1
lutz altepost, norman brockl, bjorn hogel goldschmidt, torsten eckbrett	Germany	GER	Male	Canoeing	1	1
lutz ulbricht, niko ott, horst meyer, j?rg siebert, g?nther tiersch, dirk schreyer, r?diger henning, egbert hirschfelder, wolfgang hottenrott	West Germany	FRG	Male	Rowing	1	1
lyndon ferns, roland schoeman, ryk neethling, darian townsend	South Africa	RSA	Male	Swimming	1	1
lyndsie fogarty, hannah davis, chantal meek, lisa oldenhof	Australia	AUS	Female	Canoeing	1	1
lynette mcclements	Australia	AUS	Female	Swimming	1	1
lynn burke	United States of America	USA	Female	Swimming	1	1
lynn colella	United States of America	USA	Female	Swimming	1	1
lynn jennings	United States of America	USA	Female	Athletics	1	1
lynn vidali	United States of America	USA	Female	Swimming	2	2
lyubomir lyubenov	Bulgaria	BUL	Male	Canoeing	2	1
lyubomir petrov, ivo rusev, mincho nikolov, bogdan dobrev	Bulgaria	BUL	Male	Rowing	1	1
lyubov rusanova	Soviet Union	URS	Female	Swimming	2	1
lyudmila bragina	Soviet Union	URS	Female	Athletics	1	1
lyudmila dzhigalova, olga bryzgina, yelena ruzina, olga nazarova	Soviet Union	URS	Female	Athletics	1	1
lyudmila kondratyeva	Soviet Union	URS	Female	Athletics	1	1
lyudmila maslakova, natalya bochina, vera anisimova, vera komisova	Soviet Union	URS	Female	Athletics	1	1
lyudmila pinayeva-khvedosyuk	Soviet Union	URS	Female	Canoeing	2	2
lyudmila pinayeva-khvedosyuk, yekaterina kuryshko	Soviet Union	URS	Female	Canoeing	1	1
lyudmila rogachova	Soviet Union	URS	Female	Athletics	1	1
lyudmila shevtsova	Soviet Union	URS	Female	Athletics	1	1
mable fergerson, kathy hammond, cheryl toussaint, madeline manning-jackson	United States of America	USA	Female	Athletics	1	1
maciej freimut, wojciech krupiewski	Poland	POL	Male	Canoeing	1	1
mack robinson	United States of America	USA	Male	Athletics	1	1
madeline manning-jackson	United States of America	USA	Female	Athletics	1	1
mads kruse andersen, morten j?rgensen, eskild ebbesen, thomas ebert	Denmark	DEN	Male	Rowing	1	1
mads rasumussen, rasmus hansen	Denmark	DEN	Male	Rowing	1	1
magdalena stoyanova georgieva	Bulgaria	BUL	Female	Rowing	1	1
mahe drysdale	New Zealand	NZL	Male	Rowing	2	2
mahiedine mekhissibenabbad	France	FRA	Male	Athletics	1	1
mahiedine mekhissi-benabbad	France	FRA	Male	Athletics	1	1
maike nollen, carolin leonhardt, birgit fischer, katrin wagner	Germany	GER	Female	Canoeing	1	1
mai nakamura	Japan	JPN	Female	Swimming	1	1
maiola kalili, manuella kalili, george fissler, frank booth	United States of America	USA	Male	Swimming	1	1
makoto fukui, kunihiro iwasaki, toshio shoji, yukiaki okabe	Japan	JPN	Male	Swimming	1	1
malcolm carmichael, charles wiggin	Great Britain	GBR	Male	Rowing	1	1
malcolm spence	South Africa	SAF	Male	Athletics	1	1
malia metella	France	FRA	Female	Swimming	1	1
mal whitfield	United States of America	USA	Male	Athletics	3	2
mal whitfield, arthur harnden, roy cochran, clifford bourland	United States of America	USA	Male	Athletics	1	1
mamo wolde	Ethiopia	ETH	Male	Athletics	3	2
manfred kinder, martin jellinghaus, gerhard hennige, helmar m?ller	West Germany	FRG	Male	Athletics	1	1
manfred klein, armin eichholz, thomas domian, ansgar wessling, eckhardt schultz, bahne rabe, wolfgang maennig, matthias mellinghaus, thomas m?llenkamp	West Germany	FRG	Male	Rowing	1	1
manuela lutze, manja kowalski, kerstin el qalqili-kowalski, meike evers	Germany	GER	Female	Rowing	1	1
manuela lutze, meike evers, kerstin el qalqili-kowalski, kathrin boron	Germany	GER	Female	Rowing	1	1
manuela stellmach	German Democratic Republic	GDR	Female	Swimming	1	1
manuel dos santos	Brazil	BRA	Male	Swimming	1	1
manuel plaza reyes	Chile	CHI	Male	Athletics	1	1
marc bouissou, roger gautier, jacques guissart, pierre blondiaux	France	FRA	Male	Rowing	1	1
marc burns, keston bledman, emmanuel callender, richard thompson	Trinidad and Tobago	TTO	Male	Athletics	1	1
marc detton, jean-pierre stock	France	FRA	Male	Rowing	1	1
marcel hacker	Germany	GER	Male	Rowing	1	1
marcel hansenne	France	FRA	Male	Athletics	1	1
marcia jones	United States of America	USA	Female	Canoeing	1	1
marc weber, roland baar, detlef kirchhoff, mark kleinschmidt, wolfram huhn, frank richter, ulrich viefers, thorsten streppelhoff, peter thiede	Germany	GER	Male	Rowing	1	1
marek dopierala, marek lbik	Poland	POL	Male	Canoeing	1	1
marek lbik, marek dopierala	Poland	POL	Male	Canoeing	1	1
marek witkowski, adam seroczynski, grzegorz kotowicz, dariusz bialkowski	Poland	POL	Male	Canoeing	1	1
margaret bailes, barbara ferrell, wyomia tyus, mildrette netter	United States of America	USA	Female	Athletics	1	1
margarete adler, klara milch, josephine sticker, berta zahourek	Austria	AUT	Female	Swimming	1	1
margaret edwards	Great Britain	GBR	Female	Swimming	1	1
margaret hoelzer	United States of America	USA	Female	Swimming	2	1
margot marsman, marie-louise linssen-vaessen, irma heijting-schuhmacher, hanny termeulen	Netherlands	NED	Female	Swimming	1	1
maria braun	Netherlands	NED	Female	Swimming	2	1
maria cioncan	Romania	ROM	Female	Athletics	1	1
maria gommers	Netherlands	NED	Female	Athletics	1	1
maria mutola	Mozambique	MOZ	Female	Athletics	2	2
mariana limbau, elena radu, raluca andreea ionita, sanda toma	Romania	ROM	Female	Canoeing	1	1
marianne heemskerk	Netherlands	NED	Female	Swimming	1	1
marianne kriel	South Africa	RSA	Female	Swimming	1	1
marianne limpert	Canada	CAN	Female	Swimming	1	1
maria teresa ramirez	Mexico	MEX	Female	Swimming	1	1
maria vasco	Spain	ESP	Female	Athletics	1	1
maricica puica	Romania	ROM	Female	Athletics	1	1
marie baron	Netherlands	NED	Female	Swimming	1	1
mariechen wehselau	United States of America	USA	Female	Swimming	1	1
marie delattre, anne-laure viard	France	FRA	Female	Canoeing	1	1
marie-jos? p?rec	France	FRA	Female	Athletics	3	2
marie-louise linssen-vaessen	Netherlands	NED	Female	Swimming	1	1
marilyn black	Australia	AUS	Female	Athletics	1	1
marilyn ramenofsky	United States of America	USA	Female	Swimming	1	1
marina koshevaya	Soviet Union	URS	Female	Swimming	2	1
marina yurchenya	Soviet Union	URS	Female	Swimming	1	1
marinus van den berge, jacob boot, jan de vries, henricus broos	Netherlands	NED	Male	Athletics	1	1
mario lanzi	Italy	KIT	Male	Athletics	1	1
marion shields	United States of America	USA	Male	Athletics	1	1
marise chamberlain	New Zealand	NZL	Female	Athletics	1	1
marita koch	German Democratic Republic	GDR	Female	Athletics	1	1
mariya pinigina, olga nazarova, tatyana ledovskaya, olga bryzgina	Soviet Union	URS	Female	Athletics	1	1
mariya savinova	Russia	RUS	Female	Athletics	1	1
marjorie jackson	Australia	AUS	Female	Athletics	2	1
mark crear	United States of America	USA	Male	Athletics	2	2
mark de jonge	Canada	CAN	Male	Canoeing	1	1
mark hunter, zac purchase	Great Britain	GBR	Male	Rowing	1	1
mark kerry	Australia	AUS	Male	Swimming	1	1
mark kerry, neil brooks, peter evans, mark tonelli	Australia	AUS	Male	Swimming	1	1
mark lewis-francis, jason gardener, marlon devonish, darren campbell	Great Britain	GBR	Male	Athletics	1	1
mark mccoy	Canada	CAN	Male	Athletics	1	1
mark oldershaw	Canada	CAN	Male	Canoeing	1	1
mark richardson, roger black, jamie baulch, iwan thomas	Great Britain	GBR	Male	Athletics	1	1
mark rowland	Great Britain	GBR	Male	Athletics	1	1
mark spitz	United States of America	USA	Male	Swimming	6	2
mark spitz, don schollander, john nelson, stephen rerych	United States of America	USA	Male	Swimming	1	1
mark stockwell	Australia	AUS	Male	Swimming	1	1
mark tewksbury	Canada	CAN	Male	Swimming	1	1
mark tewksbury, thomas ponting, victor davis, sandy goss	Canada	CAN	Male	Swimming	1	1
markus gier, michael gier	Switzerland	SUI	Male	Rowing	1	1
markus rogan	Austria	AUT	Male	Swimming	2	1
markus ryffel	Switzerland	SUI	Male	Athletics	1	1
mark warnecke	Germany	GER	Male	Swimming	1	1
mark zabel, andreas ihle, bjorn bach, stefan ulm	Germany	GER	Male	Canoeing	1	1
marleen veldhuis	Netherlands	NED	Female	Swimming	1	1
marleen veldhuis, inge de bruijn, inge dekker, chantal groot, annabel kosten	Netherlands	NED	Female	Swimming	1	1
marlene mathews	Australia	AUS	Female	Athletics	2	1
marlies g?hr-oelsner	German Democratic Republic	GDR	Female	Athletics	1	1
marnie mcbean, diane o?grady, laryssa biesenthal, kathleen heddle	Canada	CAN	Female	Rowing	1	1
marnie mcbean, kathleen heddle	Canada	CAN	Female	Rowing	1	1
martha genenger	Germany	GER	Female	Swimming	1	1
martha langbein, annie biechl, jutta heine, brunhilde hendrix	Germany	GER	Female	Athletics	1	1
martha norelius	United States of America	USA	Female	Swimming	2	2
martha norelius, adelaide lambert, albina osipowich, eleanor garatti-saville	United States of America	USA	Female	Swimming	1	1
martha randall	United States of America	USA	Female	Swimming	1	1
martina grimaldi	Italy	ITA	Female	Swimming	1	1
